,service_name,status,symbol,long_short,size,entry_price,is_option,expiration,strike,opt_type,current_price
LEN,Money Flows Elite,open,LEN,Long,1,76.38,False,,,,83.55
MRNA,Money Flows Elite,open,MRNA,Long,1,159.43,False,,,,165.17
NCLH,Money Flows Elite,open,NCLH,Long,1,11.35,False,,,,12.02
AMZN,Money Flows Elite,open,AMZN,Long,1,113.79,False,,,,122.53
ABNB,Money Flows Elite,open,ABNB,Long,1,93.09,False,,,,104.26
TUP,Money Flows Elite,open,TUP,Long,1,7.13,False,,,,7.07
AMAT,Money Flows Elite,open,AMAT,Short,1,86.6,False,,,,102.32
CEG,Money Flows Elite,open,CEG,Short,1,56.67,False,,,,54.66
HAL,Money Flows Elite,open,HAL,Short,1,28.37,False,,,,28.17
LEN--CALL,Money Flows Elite,open,LEN,Long,1,4.54,True,8/19/22,77.5,CALL,7.7
MRNA--CALL,Money Flows Elite,open,MRNA,Long,1,11.65,True,8/19/22,165.0,CALL,12.8
NCLH--CALL,Money Flows Elite,open,NCLH,Long,1,1.1,True,8/19/22,12.5,CALL,0.88
AMZN--CALL,Money Flows Elite,open,AMZN,Long,1,7.45,True,8/19/22,115.0,CALL,11.07
ABNB--CALL,Money Flows Elite,open,ABNB,Long,1,6.78,True,8/19/22,100.0,CALL,10.12
TUP--CALL,Money Flows Elite,open,TUP,Long,1,1.81,True,8/19/22,6.0,CALL,1.55
AMAT--PUT,Money Flows Elite,open,AMAT,Long,1,5.73,True,8/19/22,85.0,PUT,0.84
CEG--PUT,Money Flows Elite,open,CEG,Long,1,3.95,True,8/19/22,55.0,PUT,3.5
HAL--PUT,Money Flows Elite,open,HAL,Long,1,3.34,True,8/19/22,30.0,PUT,2.65
